url,doc_id,title,audience,category,language,document_version,license_or_permission
"https://help.shopee.vn/portal/4/article/204305-Nh%E1%BB%AFng-%C4%91i%E1%BB%81u-c%E1%BA%A7n-bi%E1%BA%BFt-v%E1%BB%81-Tr%E1%BA%A3-h%C3%A0ng-do-%22%C4%90%E1%BB%95i-%C3%BD%2Fkh%C3%B4ng-c%C3%B2n-nhu-c%E1%BA%A7u%22","doi-y-khong-con-nhu-cau","Những điều cần biết về Trả hàng do Đổi ý/không còn nhu cầu",buyer,returns-policy,vi,not-stated,public-source
"https://help.shopee.vn/portal/4/article/188931-%5BTr%E1%BA%A3-h%C3%A0ng%2FHo%C3%A0n-ti%E1%BB%81n%5D-Nh%E1%BB%AFng-quy-%C4%91%E1%BB%8Bnh-chung-v%E1%BB%81-Tr%E1%BA%A3-h%C3%A0ng%2FHo%C3%A0n-ti%E1%BB%81n-c%E1%BB%A7a-Shopee","quy-dinh-chung-tra-hang-hoan-tien-buyer","Quy định Trả hàng/Hoàn tiền dành cho Người mua",buyer,returns-policy,vi,not-stated,public-source
"https://help.shopee.vn/portal/4/article/188931-%5BTr%E1%BA%A3-h%C3%A0ng%2FHo%C3%A0n-ti%E1%BB%81n%5D-Nh%E1%BB%AFng-quy-%C4%91%E1%BB%8Bnh-chung-v%E1%BB%81-Tr%E1%BA%A3-h%C3%A0ng%2FHo%C3%A0n-ti%E1%BB%81n-c%E1%BB%A7a-Shopee","quy-dinh-chung-tra-hang-hoan-tien-seller","Quy định Trả hàng/Hoàn tiền dành cho Người bán",seller,returns-policy,vi,not-stated,public-source
"https://help.shopee.vn/portal/4/article/79465-%5BTr%E1%BA%A3-h%C3%A0ng%2F-Ho%C3%A0n-ti%E1%BB%81n%5D-S%E1%BA%A3n-ph%E1%BA%A9m-h%E1%BA%A1n-ch%E1%BA%BF-tr%E1%BA%A3-h%C3%A0ng-l%C3%A0-g%C3%AC","san-pham-han-che-tra-hang","Sản phẩm hạn chế trả hàng là gì",buyer,restricted-returns,vi,not-stated,public-source
"https://help.shopee.vn/portal/4/article/79467-%5BTr%E1%BA%A3-h%C3%A0ng%2FHo%C3%A0n-ti%E1%BB%81n%5D-H%C6%B0%E1%BB%9Bng-d%E1%BA%ABn-chu%E1%BA%A9n-b%E1%BB%8B-b%E1%BA%B1ng-ch%E1%BB%A9ng-khi-y%C3%AAu-c%E1%BA%A7u-Tr%E1%BA%A3-h%C3%A0ng%2F-Ho%C3%A0n-ti%E1%BB%81n","chuan-bi-bang-chung-tra-hang","Hướng dẫn chuẩn bị bằng chứng khi yêu cầu Trả hàng/Hoàn tiền",buyer,return-evidence,vi,not-stated,public-source
"https://help.shopee.vn/portal/4/article/79233-%5BTr%E1%BA%A3-h%C3%A0ng%2F-Ho%C3%A0n-ti%E1%BB%81n%5D-H%C6%B0%E1%BB%9Bng-d%E1%BA%ABn-g%C6%B0%CC%89i-y%C3%AAu-c%E1%BA%A7u-Tr%E1%BA%A3-h%C3%A0ng%2F-Ho%C3%A0n-ti%E1%BB%81n","gui-yeu-cau-tra-hang-hoan-tien","Hướng dẫn gửi yêu cầu Trả hàng/Hoàn tiền",buyer,return-request,vi,not-stated,public-source
"https://help.shopee.vn/portal/4/article/189477-%5BTr%E1%BA%A3-h%C3%A0ng%2F-Ho%C3%A0n-ti%E1%BB%81n%5D-C%C3%A1c-ph%C6%B0%C6%A1ng-th%E1%BB%A9c-g%E1%BB%ADi-h%C3%A0ng-ho%C3%A0n-tr%E1%BA%A3-v%C3%A0-ph%C3%AD-ho%C3%A0n-tr%E1%BA%A3","phuong-thuc-phi-gui-hang-hoan-tra","Các phương thức gửi hàng hoàn trả và phí hoàn trả",buyer,return-shipping,vi,not-stated,public-source
"https://help.shopee.vn/portal/4/article/79508-%5BTr%E1%BA%A3-h%C3%A0ng%2F-Ho%C3%A0n-ti%E1%BB%81n%5D-C%C3%A1ch-%C4%91%C3%B3ng-g%C3%B3i-%C4%91%C6%A1n-h%C3%A0ng-ho%C3%A0n-tr%E1%BA%A3","dong-goi-don-hang-hoan-tra","Cách đóng gói đơn hàng hoàn trả",buyer,return-packaging,vi,not-stated,public-source
"https://help.shopee.vn/portal/4/article/189476-%5BTr%E1%BA%A3-h%C3%A0ng%2F-Ho%C3%A0n-ti%E1%BB%81n%5D-C%C3%A1ch-theo-d%C3%B5i-t%C3%ACnh-tr%E1%BA%A1ng-v%E1%BA%ADn-chuy%E1%BB%83n-h%C3%A0ng-ho%C3%A0n-tr%E1%BA%A3","theo-doi-van-chuyen-hang-hoan-tra","Cách theo dõi tình trạng vận chuyển hàng hoàn trả",buyer,return-tracking,vi,not-stated,public-source
"https://help.shopee.vn/portal/4/article/190387-%5BTr%E1%BA%A3-h%C3%A0ng%2F-Ho%C3%A0n-ti%E1%BB%81n%5D-H%C6%B0%E1%BB%9Bng-d%E1%BA%ABn-Ng%C6%B0%E1%BB%9Di-mua-tr%E1%BA%A3-l%E1%BB%9Di-%C4%91%E1%BB%81-xu%E1%BA%A5t-Ho%C3%A0n-Ti%E1%BB%81n-Ngay-c%E1%BB%A7a-Ng%C6%B0%E1%BB%9Di-b%C3%A1n","tra-loi-de-xuat-hoan-tien-ngay","Hướng dẫn Người mua trả lời đề xuất Hoàn Tiền Ngay của Người bán",buyer,instant-refund,vi,not-stated,public-source
